 ,Area,Mean,Min,Max,Angle,Length
1,94,71.647,60.865,100.925,9.866,93.381
2,65,77.335,64.000,99.417,7.125,64.498
3,69,72.743,66.706,83.667,6.710,68.469
4,97,65.082,34.667,78.000,4.764,96.333
