 ,Area,Mean,Min,Max,Angle,Length
1,481,174.924,64.000,255,12.995,480.300
2,496,156.932,87.947,255,12.127,495.047
3,473,135.435,64.436,255,14.744,471.525
4,503,143.294,52.657,255,15.255,501.677
