 ,Area,Mean,Min,Max,Angle,Length
1,231,209.725,90.543,255,7.989,230.235
2,223,156.118,78.339,255,8.276,222.315
3,214,201.239,61.000,255,12.995,213.467
4,217,172.342,40.000,255,2.121,216.148
