 ,Area,Mean,Min,Max,Angle,Length
1,517,67.029,50.846,255,6.684,515.504
2,477,115.080,54.396,255,7.722,476.319
3,522,169.588,46.939,255,7.943,520.999
4,550,75.367,39.061,255,10.491,549.181
