 ,Area,Mean,Min,Max,Angle,Length
1,209,56.595,33.333,92.333,1.102,208.038
2,233,62.161,49.414,99.724,1.975,232.138
3,255,60.959,32.826,113.411,7.237,254.024
4,222,49.645,24.517,82.461,12.529,221.269
